Item,Marca,Precio,Categoria,Web,class_inei,codigo,genero
sandalias casuales niño bubblegummers seul  ,bubble gummers,71.92,zapatos niño,falabella,ZAPATILLAS (NIÑO DE 3 A 13),321020303,niño
pantalón hombre napoli ,rockford,279.2,moda hombre,falabella,PANTALÓN (HOMBRE > 14),312010154,hombre
jean algodón mujer,elle,99.9,moda mujer,falabella,PANTALÓN (MUJER > 14),312020137,mujer
zapatilla mujer grand court base 20   ,adidas,226.0,zapatillas urbanas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
sandalia rafaela   ,nebula,101.94,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
camisa lima shirt flannel classic relaxed fit acero,lima shirt co,89.0,moda hombre,falabella,CAMISA (HOMBRE > 14),312010124,hombre
pantalón drill moda para hombre   ,generico,102.0,moda hombre,falabella,PANTALÓN (HOMBRE > 14),312010154,hombre
ajuar para bebe conejito,generico,39.99,ropa de bebe niño,falabella,CONJUNTITO (MENOR DE 2),312050138,bebe
casaca listada con capucha,generico,84.0,moda mujer,falabella,"CASACA, CHAQUETA, GUERRERA (MUJER > 14)",312020114,mujer
bood tape cinta levanta busto senos parche de busto senos cubre pezón,inspira,11.9,correas,falabella,NO CLASIFICACIÓN,0,mujer
lenceria bralet hilo ,generico,65.9,calzones,falabella,ROPA INTERIOR (MUJER > 14),312020172,mujer
zapatillas urbanas niño lic mod ro,marvel,129.9,zapatos niño,falabella,ZAPATILLAS (NIÑO DE 3 A 13),321020303,niño
casaca de plumas impermeable para caballero talla ,truper,290.0,moda hombre,falabella,"CASACA, CHAQUETA, GUERRERA (HOMBRE > 14)",312010132,hombre
zapatos formales hombre marrón,calimod,359.0,zapatos,falabella,ZAPATOS (HOMBRE >14),321010121,hombre
polo camisa jeraous manga corta vino,j jeraous,50.0,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
polo de garfield   ,forkids,70.0,ropa de niñas,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (NIÑA DE 3 A 13)",312040142,niña
sandalias mujer,vizzano,74.95,zapatos formales mujer,falabella,SANDALIAS (MUJER > 14),321030115,mujer
vestido de fiesta elegante para mujer,blwoens,269.0,moda mujer,falabella,CONJUNTO / VESTIDO DE VESTIR (MUJER > 14),312020118,mujer
zapatos jane para mujer   ,generico,89.0,zapatos casuales mujer,falabella,ZAPATOS (MUJER > 14),321030121,mujer
zapatos oxford mujer briana09 cobre,impuls,99.9,zapatos casuales mujer,falabella,ZAPATOS (MUJER > 14),321030121,mujer
pant den cint palazo cb,vrp by viviana rivas plata,149.9,moda mujer,falabella,PANTALÓN (MUJER > 14),312020137,mujer
ballerinas casuales mujer,generico,79.9,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
polo moda rib lycrado mujer irais,pionier,89.0,moda mujer,falabella,PANTALÓN (MUJER > 14),312020137,mujer
polo camiseta  core hombre br  ,wilson,84.9,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
zapatilla supply quest mid hombre talla 95,diamond,199.0,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,hombre
body babyli manga corta bebe my first christmas,generico,29.9,ropa de bebe niño,falabella,BEBECRECE (MENOR DE 2),312050108,bebe
pantalón cargo hombre,pionier,113.94,moda hombre,falabella,PANTALÓN (HOMBRE > 14),312010154,hombre
conjunto para bebe a rayas con bolsillo melange,generico,55.0,ropa de bebe niño,falabella,CONJUNTO / VESTIDO DE VESTIR (MUJER > 14),312020118,bebe
pack calcetín invisible algodón,caffarena,46.9,medias,falabella,CALCETINES (HOMBRE > 14),312010119,mujer
sandalia mujer rough doble hebilla 2086l 52  dorado,generico,89.0,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
calzón mujer,caffarena,49.9,calzones,falabella,ROPA INTERIOR (MUJER > 14),312020172,mujer
chaleco hilos hombre padmax,norton,179.0,moda hombre,falabella,"CASACA, CHAQUETA, GUERRERA (HOMBRE > 14)",312010132,hombre
zapatillas urbanas para mujer alda ,matisma,460.0,zapatillas urbanas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
chaleco algodón mujer,mango teen,71.96,moda mujer,falabella,"CASACA, CHAQUETA, GUERRERA (MUJER > 14)",312020114,mujer
botas para mujer gala ,matisma,750.0,botas de mujer,falabella,BOTAS (MUJER > 14),321030106,mujer
sandalias encapelladas minnie flowers para niña,disney,38.9,zapatos niña,falabella,ZAPATOS (NIÑA DE 3 A 13),321040118,niña
conjunto buzo polera y jogger brooklyn para hombre acero arcoi,generico,120.0,moda hombre,falabella,ROPA DEPORTIVA ESCOLAR (NIÑO DE 3 A 13),312030167,hombre
zapatillas urbanas mujer zap muj urbjuno stripe lace up marrón,michael kors,423.2,zapatillas urbanas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
polo manga corta algodón mujer,basement,79.9,moda mujer,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
zuecos yukon vista ii literide clog  blackslate grey hombre,crocs,339.0,zapatos,falabella,ZAPATOS (HOMBRE >14),321010121,hombre
chaleco guinda acolchado,justo,43.0,moda hombre,falabella,"CASACA, CHAQUETA, GUERRERA (HOMBRE > 14)",312010132,hombre
zapatilla court advance  para hombre,reebok,270.7,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,hombre
jean olaya hueso mujer,exit,89.5,moda mujer,falabella,PANTALÓN (MUJER > 14),312020137,mujer
zapatilla sport para mujer ginebra,sport fitness,79.0,zapatillas deportivas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
poleras diseño bulldog frances,generico,80.0,moda hombre,falabella,POLERA / SUDADERA (HOMBRE > 14),312010158,hombre
vestido niña algodón,mango kids,179.9,ropa de niñas,falabella,NO CLASIFICACIÓN,0,niña
zapatilla court vision low   ,nike,295.3,zapatillas urbanas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
mocasines casuales comfit lunita  mujer,bata,116.91,mocasines,falabella,ZAPATOS (MUJER > 14),321030121,mujer
sandalias niña rosado  ,ortopasso,59.94,zapatos niña,falabella,ZAPATOS (NIÑA DE 3 A 13),321040118,niña
top con cierre sexy versatil,generico,34.9,moda mujer,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
oxfords bone,galeanna,410.0,zapatos casuales mujer,falabella,ZAPATOS (MUJER > 14),321030121,mujer
zapatos para damas g   cyan,sinocamco,39.99,sandalias mujeres,falabella,ZAPATOS (MUJER > 14),321030121,mujer
botin para hombre de cuero 22bx 20,kaida,199.9,zapatos,falabella,ZAPATOS (HOMBRE >14),321010121,hombre
jeans niña skinny ,pillin,77.0,ropa de niñas,falabella,PANTALÓN (NIÑA DE 3 A 13),312040137,niña
cortaviento dexmen grey ,dm dexmen,89.0,moda hombre,falabella,"CASACA, CHAQUETA, GUERRERA (NIÑA DE 3 A 13)",312040116,hombre
zapatillas urbanas hombre sp basic orlovoflexx ,aldo,279.9,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,hombre
short textura mujer,redwood,39.9,moda mujer,falabella,PANTALÓN CORTO (MUJER > 14),312020136,mujer
top con botón delantero bajo fruncido  algodón,tais princess,29.0,moda mujer,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
polo  algodón mujer,basement,35.94,moda mujer,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
jean flare mujer,jarola,149.0,moda mujer,falabella,PANTALÓN (MUJER > 14),312020137,mujer
taco mujer radiante alto 1022l 55 taco 7  ,generico,109.0,sandalias mujeres,falabella,ZAPATOS (MUJER > 14),321030121,mujer
zapatillas deportivas mujer scend pro,puma,149.4,zapatillas deportivas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
enterizo bebé niño lino,oshkosh,99.9,ropa de bebe niño,falabella,BEBECRECE (MENOR DE 2),312050108,niño
sandalias  6  mujer,via uno,118.3,zapatillas urbanas mujer,falabella,SANDALIAS (MUJER > 14),321030115,mujer
zapatillas para hombres deportivas de ocio personalidad retro ,blwoens,329.0,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,hombre
polo navideño modelo unisex,generico,45.9,moda hombre,falabella,POLO (HOMBRE > 14),312010160,sin genero
jogger denim briggita mujer,pionier,169.0,moda mujer,falabella,PANTALÓN (MUJER > 14),312020137,mujer
poleron niña,la casa de gabby,34.9,ropa de niñas,falabella,"CASACA, CHAQUETA, GUERRERA (NIÑA DE 3 A 13)",312040116,niña
zapatilla x ray 2 square  81 multicolor para mujer,puma,269.0,zapatillas urbanas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
polo manga corta unisex   d nuñez   abrazo spider,generico,39.9,moda hombre,falabella,POLO (HOMBRE > 14),312010160,sin genero
jean recto algodón mujer,university club,59.96,moda mujer,falabella,PANTALÓN (MUJER > 14),312020137,mujer
balerinas gillian para dama   ,generico,109.0,mocasines,falabella,ZAPATOS (MUJER > 14),321030121,mujer
zapatillas running ultra fly free 30 para hombre,ultralon,174.9,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,hombre
falda mini de disco brillantes para mujer   triana,generico,143.0,moda mujer,falabella,PANTALÓN CORTO (MUJER > 14),312020136,mujer
polo hombre  estampado aquarius,yansus,35.9,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
pijama para niña polar stitch,generico,109.0,ropa de niñas,falabella,NO CLASIFICACIÓN,0,niña
blusa adelina   ,zohar,45.9,moda mujer,falabella,BLUSA (MUJER > 14),312020106,mujer
vestido casual mujer,sybilla,47.96,moda mujer,falabella,VESTIDO PARA OCASIONES ESPECIALES (MUJER > 14),312020165,mujer
pantalones anchos de talle alto con estampado de leopardo acampanados,denisasaa,49.0,moda mujer,falabella,PANTALÓN (MUJER > 14),312020137,mujer
bóxer masculino levanta glúteos naturell ,lh electronic,49.8,ropa interior y pijamas,falabella,ROPA INTERIOR (HOMBRE > 14),312010171,mujer
zapatillas running mujer modelo taichi 10 plus,peak,199.9,zapatillas deportivas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
bolero tejido niña   patron corazones,generico,26.9,ropa de niñas,falabella,"CASACA, CHAQUETA, GUERRERA (NIÑA DE 3 A 13)",312040116,niña
polo manga corta hombre hombre sauv,tapout,49.9,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
polo peanuts x crew neck short sleeve niños talla 3t,puma,79.0,ropa de niños,falabella,POLO (NIÑO DE 3 A 13),312030158,niño
stilettos harper para dama    oliva,generico,129.0,zapatos casuales mujer,falabella,ZAPATOS (MUJER > 14),321030121,mujer
calzado   nabi ,estodas,299.0,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
polo manga corta mujer,fordan jeans,55.2,moda mujer,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
jean chester iii denim,bronco,143.1,moda hombre,falabella,PANTALÓN (HOMBRE > 14),312010154,hombre
zapato confort casual hombre  toffe,hawerl,319.0,zapatos,falabella,ZAPATOS (HOMBRE >14),321010121,hombre
faja facial mentonera control doble mentón papada doble ajuste ,generico,45.5,fajas y modeladores,falabella,NO CLASIFICACIÓN,0,mujer
blazer vest y pantalones casuales para mujeres traje,tiozoney,159.0,moda mujer,falabella,"CASACA, CHAQUETA, GUERRERA (MUJER > 14)",312020114,mujer
zapato de cordón alba en cuero gamuza para mujer silueta oxford,velez,447.3,zapatos casuales mujer,falabella,ZAPATOS (MUJER > 14),321030121,mujer
top corto jean mangas mujer,bencus jeans,65.0,moda mujer,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
zapatillas urbanas mujer hazel slip ins ,skechers,329.0,zapatillas urbanas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
panty algodón bebé niña gruesa invierno   ,little chicks,36.0,ropa de niñas,falabella,ROPA INTERIOR (NIÑA DE 3 A 13),312040165,niña
casaca de peluche unisex para niño o niña cemento,tifanti,99.0,ropa de niños,falabella,NO CLASIFICACIÓN,0,niño
sandalia casual para mujer   rose,sthef,59.0,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
polo oversize mujer alicia,disney,48.9,moda mujer,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
botines mujeres fch  35 39 violet,footloose,119.4,botas de mujer,falabella,BOTAS (MUJER > 14),321030106,mujer
zapatillas outdoor montfor75 azulino con  hombre,new athletic,219.0,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,hombre
zapatillas de fútbol jr niño footynew ,diadora,129.9,zapatos niño,falabella,ZAPATILLAS (NIÑO DE 3 A 13),321020303,niño
zapatilla caven 20  05  para ps,puma,179.0,zapatos niña,falabella,ZAPATILLAS (NIÑA DE 3 A 13),321040303,niña
sandalias para mujeres fch  34 40 amazonita,footloose,99.9,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
zapatillas agility mini ,bibi,179.9,zapatos niño,falabella,ZAPATILLAS (NIÑO DE 3 A 13),321020303,niño
polo navideño papa noel con globo,generico,39.0,ropa de bebe niño,falabella,BEBECRECE (MENOR DE 2),312050108,niño
buzo niño  24,pillin,111.0,ropa de niños,falabella,CONJUNTITO (MENOR DE 2),312050138,niño
polo oversize florida  botella,engell,29.9,moda mujer,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
falda corta denim algodón,mossimo,89.9,moda mujer,falabella,PANTALÓN CORTO (MUJER > 14),312020136,mujer
polo niña manga corta queen   ,fodago,24.0,ropa de niñas,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (NIÑA DE 3 A 13)",312040142,niña
polo recycled ,rockford,99.5,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
jean recto  algodón hombre,pionier,189.9,moda hombre,falabella,PANTALÓN (HOMBRE > 14),312010154,hombre
bucket hat gorro para niña modelo sweet 4 a 6 años   54cm,kast pe,49.0,ropa de niños,falabella,NO CLASIFICACIÓN,0,niña
zapatos casuales mujeres ftl  35 39,footloose,99.0,zapatos casuales mujer,falabella,ZAPATOS (MUJER > 14),321030121,mujer
casacas hombre,elenex,112.9,moda hombre,falabella,"CASACA, CHAQUETA, GUERRERA (HOMBRE > 14)",312010132,hombre
pantalón skinny algodón mujer,basement,99.9,moda mujer,falabella,PANTALÓN (MUJER > 14),312020137,mujer
stilettos parker para dama   hueso,generico,149.0,zapatos casuales mujer,falabella,ZAPATOS (MUJER > 14),321030121,mujer
pijama sonic onesie niños disfraz sonic importado,generico,150.0,ropa de niños,falabella,NO CLASIFICACIÓN,0,niño
sandalia mujer plataforma 12 trenzas 2086l 55  camel,generico,109.0,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
buzo bebé niño ,pillin,83.0,ropa de bebe niño,falabella,CONJUNTITO (MENOR DE 2),312050138,niño
casaca dexmen bomber jacket ,dm dexmen,89.0,moda hombre,falabella,"CASACA, CHAQUETA, GUERRERA (HOMBRE > 14)",312010132,hombre
body bebes dnuñez  enterizo  harley quinn,generico,34.9,ropa de bebe niño,falabella,BEBECRECE (MENOR DE 2),312050108,bebe
faja moldeadora de cintura en   yregalo stickers,rybiu import,39.97,fajas y modeladores,falabella,NO CLASIFICACIÓN,0,mujer
falda larga mujer mariana oroza,generico,139.0,moda mujer,falabella,PANTALÓN CORTO (MUJER > 14),312020136,mujer
polo moda rib lycrado mujer hiliet ,pionier,89.0,moda mujer,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
alpargata hombre luchan café,rockford,295.2,zapatos,falabella,ZAPATOS (HOMBRE >14),321010121,hombre
zapatilla casual para niña ,vady,139.9,zapatos niña,falabella,ZAPATILLAS (NIÑA DE 3 A 13),321040303,niña
gorro los angeles dodgers mlb 9forty ,new era,129.9,gorros y sombreros,falabella,NO CLASIFICACIÓN,0,mujer
vestido para bebe navidad   diseño de arbolito de navidadd,generico,139.9,ropa de niñas,falabella,BEBECRECE (MENOR DE 2),312050108,bebe
botines daniela inspira kvr  ,generico,95.9,botines mujer,falabella,BOTAS (MUJER > 14),321030106,mujer
polo niño algodón looney tunes por,mango kids,59.9,ropa de niños,falabella,POLO (NIÑO DE 3 A 13),312030158,niño
jeans regular zinnia barbados mujer,barbados,129.99,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
polo levis mujer algodón the perfect tee,levi's,69.0,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
polo mujer dockers t3 dfw graphic tee,dockers,79.0,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
chompa abrigo algodón mujer karl lagerfeld paris melon,karl lagerfeld paris,229.0,mujer,ripley,CHOMPA / SUÉTER (MUJER > 14),312020117,mujer
polo manga corta algodón mujer bronco bellisa,bronco,69.99,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
casaca algodón mujer kansas,kansas,90.99,mujer,ripley,"CASACA, CHAQUETA, GUERRERA (MUJER > 14)",312020114,mujer
polo manga larga mujer marquis round,marquis,30.0,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
polo mujer alejandra baigorria college rib,alejandra baigorria,44.92,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
jean recto mujer pionier arinah straight,pionier,135.99,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
blusa rayón mujer soda blues mariam,soda blues,99.99,mujer,ripley,BLUSA (MUJER > 14),312020106,mujer
blusa mujer tatienne sin mangas aflor,tatienne,76.99,mujer,ripley,BLUSA (MUJER > 14),312020106,mujer
jeans algodón mujer levis shaping slim,levi's,174.0,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
polo mujer alejandra baigorria racing style,alejandra baigorria,35.94,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
pantalón algodón mujer index love,index,49.9,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
jeans wideleg mujer pionier laraah,pionier,85.0,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
jean mom mujer kansas,kansas,97.99,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
blusa sin mangas mujer index finflor,index,49.99,mujer,ripley,BLUSA (MUJER > 14),312020106,mujer
blusa mujer tayssir faresa,tayssir,99.99,mujer,ripley,BLUSA (MUJER > 14),312020106,mujer
blusa manga larga mujer index belinda,index,44.99,mujer,ripley,BLUSA (MUJER > 14),312020106,mujer
polo peace and love para mujer estampado,peace and love,65.0,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
jean mujer alejandra baigorria mini,alejandra baigorria,79.99,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
sostén mujer palmers rosado básico o uso deportivo,palmers,49.9,mujer,ripley,ROPA INTERIOR (MUJER > 14),312020172,mujer
polo manga sin mangas mujer tally weijl sslcowidal2,tally weijl,30.0,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
denim jean mujer dshenk mom petit,d`shenk,160.89,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
calzón mujer calvin klein oscuro thong,calvin klein,53.2,mujer,ripley,ROPA INTERIOR (MUJER > 14),312020172,mujer
jeans mujer tt jeans claro rosalinda push up colombiano levanta cola,t&t jeans,156.0,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
pantalón mujer navigata palazzo estampado,navigata,65.0,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
jeans skinny mujer soda blues saudy,soda blues,80.0,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
polo manga corta mujer index bardot mesh,index,44.99,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
polo mujer tally weijl stsvicorine,tally weijl,49.99,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
blusa manga larga mujer maui and sons,maui and sons,119.0,mujer,ripley,BLUSA (MUJER > 14),312020106,mujer
sostén mujer calvin klein multicolor,calvin klein,129.9,mujer,ripley,ROPA INTERIOR (MUJER > 14),312020172,mujer
pantalón recto algodón tilly mujer,exit,94.5,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
pantalón buzo palazzo mujer alejandra baigorria sporty,alejandra baigorria,87.99,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
jean flare mujer kansas k14885a,kansas,97.99,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
blusa mujer alejandra baigorria blusas betsy,alejandra baigorria,49.99,mujer,ripley,BLUSA (MUJER > 14),312020106,mujer
polo mujer squeeze tali tshirt jersey full lycra,squeeze,79.0,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
calzón mujer jacinta fernandez tanga,jacinta fernandez,39.0,mujer,ripley,ROPA INTERIOR (MUJER > 14),312020172,mujer
calzón microfibra mujer palmers coral 10078cors maxi,palmers,49.9,mujer,ripley,ROPA INTERIOR (MUJER > 14),312020172,mujer
casaca mujer kansas,kansas,199.99,mujer,ripley,"CASACA, CHAQUETA, GUERRERA (MUJER > 14)",312020114,mujer
polo manga larga chloe index mujer,index,69.99,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
vestido polo algodón slim mujer calvin klein coral,calvin klein,189.0,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
sostén push up mujer caffarena provocación,caffarena,124.0,mujer,ripley,ROPA INTERIOR (MUJER > 14),312020172,mujer
pantalón casual tobillero skinny mujer metal jeans kitty,metal jeans,149.99,mujer,ripley,PANTALÓN CORTO (MUJER > 14),312020136,mujer
jean flare mujer mentha y chocolate lizeth,mentha y chocolate,199.0,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
polo manga corta algodón mujer belleza por cenizas palo libre,belleza por cenizas,85.0,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
casaca algodón mujer kansas hielo,kansas,149.99,mujer,ripley,"CASACA, CHAQUETA, GUERRERA (MUJER > 14)",312020114,mujer
polo algodón mujer levis regular fit,levi's,99.0,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
chompa mujer aziz flab,aziz,39.99,mujer,ripley,CHOMPA / SUÉTER (MUJER > 14),312020117,mujer
polo manga larga mujer navigata cuello redondo,navigata,44.99,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
jean flare mujer machine fiore,machine,149.99,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
pantalón jogger franela mujer ottoware,ottoware,59.9,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
jeans mujer exit evelina,exit,99.9,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
polo manga larga mujer kayra poblet perfect fit hueso chom,kayra poblet perfect fit,79.9,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
calzón mujer calvin klein multicolor,calvin klein,53.2,mujer,ripley,ROPA INTERIOR (MUJER > 14),312020172,mujer
chompa manga larga mujer olivo,importado,57.6,mujer,ripley,CHOMPA / SUÉTER (MUJER > 14),312020117,mujer
jeans mujer marquis bootcut,marquis,90.0,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
calzón mujer calvin klein,calvin klein,87.92,mujer,ripley,ROPA INTERIOR (MUJER > 14),312020172,mujer
jeans tobillero wideleg mujer metal jeans leila,metal jeans,104.99,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
pack x3 calzón algodón mujer sweet cotton rosado trusa clásica,sweet cotton,29.9,mujer,ripley,ROPA INTERIOR (MUJER > 14),312020172,mujer
jeans mujer marquis cuff,marquis,89.99,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
blusa mujer index manga corta florida,index,34.99,mujer,ripley,BLUSA (MUJER > 14),312020106,mujer
pantalón slim mujer dockers rosado weekend chino,dockers,132.3,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
jeans algodón wideleg mujer pionier mariksa,pionier,77.99,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
calzón algodón mujer calvin klein hipster,calvin klein,53.2,mujer,ripley,ROPA INTERIOR (MUJER > 14),312020172,mujer
polo manga corta algodón mujer metal jeans fernanda,metal jeans,79.99,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
blusa mujer devin levis,levi's,91.0,mujer,ripley,BLUSA (MUJER > 14),312020106,mujer
jeans mom mujer index,index,89.99,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
pantalón corto mujer tommy hilfiger biker,tommy hilfiger,129.0,mujer,ripley,PANTALÓN CORTO (MUJER > 14),312020136,mujer
polo mujer navigata cuello redondo yarn dye,navigata,34.99,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
polo algodón mujer squeeze editdisney,squeeze,79.99,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
polo sin mangas mujer maui and sons,maui and sons,59.0,mujer,ripley,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
jean algodón mujer alejandra baigorria doris,alejandra baigorria,89.99,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
jeans algodón mujer levis mid rise boyfriend,levi's,119.0,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
pantalón flare mujer parada angela,parada 111,159.99,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
calzón mujer jacinta fernandez hi cut,jacinta fernandez,45.0,mujer,ripley,ROPA INTERIOR (MUJER > 14),312020172,mujer
jeans skinny mujer soda blues hamby,soda blues,80.0,mujer,ripley,PANTALÓN (MUJER > 14),312020137,mujer
casaca mujer jarola emilia denim confort,jarola,159.0,mujer,ripley,"CASACA, CHAQUETA, GUERRERA (MUJER > 14)",312020114,mujer
jeans mujer tt jeans claro kuzco tobillero mom kusco azules colombianos con efecto artístico y 5 botones,t&t jeans,205.0,mujer,ripley,PANTALÓN CORTO (MUJER > 14),312020136,mujer
blusa manga corta algodón mujer index deglobo,index,49.99,mujer,ripley,BLUSA (MUJER > 14),312020106,mujer
blusa algodón mujer mentha y chocolate hueso lauren,mentha y chocolate,189.0,mujer,ripley,BLUSA (MUJER > 14),312020106,mujer
blusa manga larga mujer infinity beauty holly,infinity beauty,69.9,mujer,ripley,BLUSA (MUJER > 14),312020106,mujer
conjunto largo mujer amarelly james,amarelly,139.0,mujer,ripley,ROPA DEPORTIVA (MUJER > 14),312020168,mujer
